WorkerID,WorkerName,Skills,AvailableSlots,MaxLoadPerPhase,WorkerGroup,QualificationLevel
W35,Alice Brown,"skill3,skill5",[2],3,GroupD,Mid
W36,Alice Brown,"skill7,skill2","[1, 3]",2,GroupC,Mid
W37,Jane Smith,"skill1,skill2","[3, 1]",2,GroupB,Junior
W38,Eve Adams,"skill6,skill7","[1, 3]",3,GroupD,Mid
W39,Alice Brown,"skill1,skill4",[1],3,GroupB,Mid
W40,Bob Johnson,"skill4,skill3","[3, 2, 1]",3,GroupB,Senior
W41,Bob Johnson,"skill6,skill7","[3, 2]",3,GroupD,Mid
W42,Jane Smith,"skill5,skill2",[1],2,GroupB,Junior
W43,Isla Lewis,"skill1,skill6","[3, 2, 1]",2,GroupA,Senior
W44,Grace Lee,"skill5,skill7","[3, 1]",1,GroupD,Senior
W45,Henry Clark,"skill2,skill5","[3, 2]",3,GroupC,Mid
W46,Henry Clark,"skill4,skill3","[3, 2, 1]",3,GroupA,Senior
W47,Alice Brown,"skill4,skill3","[2, 3]",1,GroupB,Mid
W48,Jane Smith,"skill5,skill4","[1, 2, 3]",2,GroupD,Junior
W49,John Doe,"skill1,skill7","[1, 2]",3,GroupC,Senior
W50,Jane Smith,"skill1,skill4","[3, 1]",1,GroupA,Senior
W51,Eve Adams,"skill7,skill4","[1, 2]",3,GroupC,Mid
W52,Henry Clark,"skill5,skill7","[3, 1]",1,GroupD,Senior
W53,Eve Adams,"skill3,skill1",[2],3,GroupA,Junior
W54,Henry Clark,"skill5,skill1",[1],3,GroupC,Senior
W55,Grace Lee,"skill2,skill1","[2, 1]",3,GroupA,Mid
W56,Jane Smith,"skill1,skill6",[3],2,GroupB,Junior
W57,Isla Lewis,"skill6,skill2","[1, 2]",2,GroupD,Mid
W58,Charlie Davis,"skill2,skill6",[2],1,GroupB,Junior
W59,Jane Smith,"skill7,skill4","[3, 1]",1,GroupC,Junior
W60,Eve Adams,"skill7,skill2",[3],1,GroupB,Junior
W61,Jane Smith,"skill1,skill5","[3, 2]",2,GroupB,Senior
W62,Eve Adams,"skill4,skill2","[2, 3, 1]",3,GroupB,Mid
W63,Frank Wright,"skill2,skill1","[2, 1, 3]",1,GroupA,Junior
W64,Jane Smith,"skill7,skill3","[2, 3]",2,GroupD,Senior
W65,Frank Wright,"skill3,skill1","[3, 1]",2,GroupD,Junior
W66,John Doe,"skill3,skill7","[1, 3, 2]",1,GroupB,Senior
W67,Frank Wright,"skill1,skill7","[3, 2, 1]",3,GroupB,Senior
W68,Bob Johnson,"skill2,skill3","[3, 2]",1,GroupB,Senior
W69,Jane Smith,"skill3,skill1",[2],1,GroupC,Mid
W70,Alice Brown,"skill4,skill1","[1, 2]",3,GroupD,Senior
W71,John Doe,"skill6,skill2",[2],2,GroupB,Junior
W72,Grace Lee,"skill1,skill4","[3, 1]",1,GroupB,Junior
W73,Frank Wright,"skill2,skill5","[2, 3]",1,GroupD,Senior
W74,Eve Adams,"skill5,skill7","[1, 2, 3]",3,GroupC,Mid
W75,John Doe,"skill4,skill5",[1],3,GroupC,Junior
W76,Alice Brown,"skill2,skill5","[1, 3]",3,GroupC,Senior
W77,Charlie Davis,"skill4,skill1",[2],2,GroupC,Mid
W78,Henry Clark,"skill7,skill2",[2],2,GroupB,Junior
W79,Isla Lewis,"skill6,skill5","[2, 1, 3]",2,GroupC,Junior
W80,Grace Lee,"skill3,skill6","[2, 1, 3]",3,GroupC,Junior
W81,Jane Smith,"skill5,skill3","[2, 1]",3,GroupA,Mid
W82,Charlie Davis,"skill6,skill7","[3, 1]",1,GroupC,Senior
W83,Bob Johnson,"skill5,skill1","[2, 1, 3]",2,GroupD,Senior
W84,Charlie Davis,"skill6,skill1","[2, 1, 3]",3,GroupA,Senior
W85,Grace Lee,"skill3,skill4","[3, 1, 2]",1,GroupB,Junior
W86,John Doe,"skill3,skill4",[1],1,GroupD,Junior
W87,Henry Clark,"skill6,skill5","[2, 3]",2,GroupD,Mid
W88,Eve Adams,"skill2,skill5","[3, 1]",3,GroupB,Mid
W89,Henry Clark,"skill6,skill7","[1, 3]",2,GroupC,Junior
W90,John Doe,"skill1,skill5",[2],1,GroupC,Mid
W91,Eve Adams,"skill5,skill6",[3],3,GroupD,Mid
W92,Grace Lee,"skill5,skill4","[3, 1]",3,GroupD,Junior
W93,Eve Adams,"skill3,skill2","[3, 1]",3,GroupA,Senior
W94,John Doe,"skill7,skill4","[1, 2, 3]",1,GroupC,Senior
W95,Frank Wright,"skill2,skill1","[2, 3]",3,GroupA,Senior
W96,Henry Clark,"skill7,skill3","[2, 1]",3,GroupD,Mid
W97,John Doe,"skill6,skill1",[1],3,GroupB,Mid
W98,Henry Clark,"skill4,skill7","[3, 2, 1]",2,GroupC,Senior
W99,Bob Johnson,"skill5,skill6","[2, 1]",2,GroupB,Junior
W100,Alice Brown,"skill7,skill5",[3],1,GroupD,Junior
